dbpedia_5, dbpedia_10, lmdb_5, lmdb_10
.3045333333333332, .5029333333333337, .272, .428
.3026666666666666, .5048000000000002, .266, .42733333333333334
.31146666666666656, .5097333333333337, .2613333333333333, .42100000000000015
.3093333333333332, .5028000000000004, .266, .424
.30586666666666656, .5008000000000005, .2633333333333334, .42333333333333334
.3045333333333332, .4998666666666669, .26400000000000007, .4210000000000001
.30533333333333323, .5036000000000002, .2633333333333334, .42333333333333334
.30533333333333323, .5058666666666668, .26266666666666666, .42266666666666663
.3082666666666665, .5077333333333336, .26600000000000007, .42300000000000004
.30239999999999995, .5005333333333335, .26733333333333337, .42200000000000004
